# A2 种子 3：形容词 / 副词 / 连接词 / 比较级 / 观点表达
sobre todo|尤其是|adv|程度|Me gusta el mar, sobre todo en verano.|我喜欢大海，尤其是夏天。
sin embargo|然而|adv|转折|Es caro; sin embargo, funciona muy bien.|它很贵，然而非常好用。
por lo tanto|因此|adv|结果|Llueve, por lo tanto, no salgo.|下雨了，因此我不出门。
además|此外|adv|递进|Es barato y además está cerca.|它便宜，而且离得近。
de hecho|其实；实际上|adv|语气|De hecho, no lo conocía.|其实我并不认识他。
por ejemplo|例如|adv|举例|Compro fruta, por ejemplo manzanas.|我买水果，比如苹果。
en cambio|相反；相比之下|adv|对比|Yo trabajo; en cambio, él descansa.|我工作；而他休息。
al final|最后|adv|时间|Al final no vamos al cine.|最后我们没去看电影。
al principio|起初|adv|时间|Al principio no entendía nada.|起初我什么都不懂。
por lo menos|至少|adv|程度|Duerme por lo menos siete horas.|至少睡七小时。
cada vez más|越来越|adv|程度|El español me interesa cada vez más.|我对西语越来越感兴趣。
poco a poco|一点一点地|adv|方式|Aprende español poco a poco.|他一点一点地学西语。
de repente|突然|adv|时间|De repente se va la luz.|灯突然灭了。
de vez en cuando|偶尔|adv|频率|De vez en cuando veo una peli.|我偶尔看部电影。
otra vez|再一次|adv|频率|¿Otra vez tarde?|又迟到了？
ya no|不再|adv|时间|Ya no trabajo allí.|我已经不在那里工作了。
mejor|更好的|adj|比较|Este restaurante es mejor.|这家餐厅更好。
peor|更差的|adj|比较|Hoy me siento peor.|今天我感觉更糟了。
mayor|更大的；年长的|adj|比较|Mi hermano mayor vive en Madrid.|我哥哥住在马德里。
menor|更小的；年幼的|adj|比较|Es la menor de la familia.|她是家里最小的。
mío|我的（东西）|adj|所属|Este libro es mío.|这本书是我的。
tuyo|你的（东西）|adj|所属|¿Es tuyo este paraguas?|这把伞是你的吗？
suyo|他的/她的（东西）|adj|所属|El coche es suyo.|这车是他的。
nuestro|我们的|adj|所属|El piso es nuestro.|这套公寓是我们的。
creo que|我认为……|phr|观点|Creo que es una buena idea.|我认为这是个好主意。
no creo que|我不认为……|phr|观点|No creo que sea tan difícil.|我不觉得有那么难。
en mi opinión|在我看来|phr|观点|En mi opinión, el plan es bueno.|在我看来，这个计划不错。
me parece que|我觉得……|phr|观点|Me parece que hoy hace más frío.|我觉得今天更冷。
para mí|对我而言；依我看|phr|观点|Para mí, el mejor es este.|依我看，这个最好。
estoy seguro de que|我确信……|phr|观点|Estoy seguro de que viene hoy.|我确信他今天会来。
lo importante es|重要的是……|phr|观点|Lo importante es practicar cada día.|重要的是每天练习。
lo que quiero|我想要的东西/事|phr|句型|Lo que quiero es descansar.|我想要的只是休息。
lo mejor|最好的（事物）|phr|句型|Lo mejor de la peli es el final.|这部电影最棒的是结局。
cada vez que|每次……|phr|时间|Cada vez que lo veo, me río.|每次见到他我都想笑。
mientras|当……时；与此同时|conj|时间|Escucha música mientras estudia.|他学习时听音乐。
hasta que|直到……|conj|时间|Espero hasta que llegas.|我一直等你到。
desde que|自从……|conj|时间|Desde que estudio, no veo la tele.|自从开始学习，我就不看电视了。
ya que|既然；由于|conj|原因|Ya que llueve, quedémonos en casa.|既然下雨，我们就待在家吧。
debido a|由于|phr|原因|El vuelo se retrasa debido a la niebla.|航班因大雾延误。
tan ... como|和……一样……|phr|比较|Ella es tan alta como su madre.|她和她妈妈一样高。
más ... que|比……更……|phr|比较|El café es más caro que el té.|咖啡比茶贵。
tener la culpa|有错；怪……|phrv|责任|No tengo la culpa del retraso.|迟到不怪我。
darse cuenta de|意识到|phrv|认知|Me doy cuenta de mi error.|我意识到了自己的错误。
hacer caso|理会；听话|phrv|社交|El niño no hace caso a su madre.|孩子不听妈妈的话。
quedarse con|留下；买下|phrv|购物|Me quedo con la camisa azul.|我要这件蓝衬衫。
echar de menos|想念|phrv|情感|Echo de menos la comida de mi madre.|我想念妈妈做的饭。
poner en marcha|启动；开展|phrv|行为|Ponen en marcha el proyecto.|他们启动了项目。
arreglárselas|设法应付|phrv|能力|Me arreglo solo, no te preocupes.|我自己能搞定，别担心。
hacer un favor|帮个忙|phrv|社交|¿Me haces un favor?|能帮我个忙吗？
tomar una decisión|做决定|phrv|思维|Tomamos la decisión juntos.|我们一起做了决定。
cambiar de opinión|改变看法|phrv|思维|Cambio de opinión sobre el plan.|我改变了对这个计划的看法。
de acuerdo con|同意……；根据……|phr|观点|Estoy de acuerdo con el plan.|我同意这个计划。
en serio|认真地；真的|phr|语气|¿Hablas en serio?|你是认真的吗？
de verdad|真的|phr|语气|De verdad, muchas gracias.|真的非常感谢。
la verdad es que|说实话|phr|语气|La verdad es que no lo sabía.|说实话我之前不知道。
no ... nada|一点也不……|phr|否定|No me gusta nada este tiempo.|我一点也不喜欢这种天气。
para que|为了……（从句）|conj|目的|Te llamo para que lo sepas.|我打给你是为了让你知道。
a pesar de|尽管|phr|让步|Salgo a pesar de la lluvia.|尽管下雨我还是出门。
