# B2-20 职业/身体部位
la taquillera|售票员|n|职业|La taquillera del cine conocía a todos los vecinos.|影院售票员认识所有街坊。||复数 las taquilleras
la limpiadora|清洁工|n|职业|La limpiadora pasa por las oficinas al alba.|清洁工天不亮就来办公室打扫。||复数 las limpiadoras
la cuidadora|照护者|n|职业|La cuidadora atiende a los abuelos con cariño.|照护者悉心照料老人。||复数 las cuidadoras
el turno de noche|夜班（人）|n|职业|El turno de noche lo lleva un equipo reducido.|夜班由精简班组值守。
hacer guardia|值班|phr|职业|Esta semana me toca hacer guardia.|这周轮到我值班。
cobrar por horas|按小时计酬|phr|职业|Los camareros cobran por horas más propinas.|服务员按小时计酬另加小费。
la sien|太阳穴|n|身体|Se masajeó las sienes para calmar el dolor.|她揉着太阳穴镇痛。||复数 las sienes
la nuca|后颈|n|身体|Llevaba la melena recogida en la nuca.|她长发挽在后颈。
el codo|手肘|n|身体|Se apoyó en los codos para ver mejor.|他手肘撑着看得更清楚。||复数 los codos
la axila|腋下|n|身体|Llevaba el termómetro en la axila.|她把体温计夹在腋下。||复数 las axilas
la cadera|髋；胯|n|身体|Se fracturó la cadera al caerse.|她摔了一跤髋部骨折。||复数 las caderas
el muslo|大腿|n|身体|Los ciclistas tienen muslos de acero.|自行车手大腿钢打铁铸。||复数 los muslos
la pantorrilla|小腿肚|n|身体|Tras la carrera le dolían las pantorrillas.|跑完步他小腿肚生疼。||复数 las pantorrillas
el talón|脚后跟|n|身体|Corre apoyando el talón, y eso lesiona.|他跑姿脚跟先着地，容易受伤。||复数 los talones
la planta del pie|脚掌|n|身体|Le dolía la planta del pie de tanto andar.|走太多路他脚掌疼。
los dedos del pie|脚趾|n|身体|Se golpeó los dedos del pie en la mesa.|他的脚趾撞到了桌腿。
el antebrazo|前臂|n|身体|La quemadura le cubría el antebrazo.|烫伤覆盖了他的前臂。||复数 los antebrazos
la clavícula|锁骨|n|身体|Se rompió la clavícula cayendo de la bici.|骑车摔断了他锁骨。||复数 las clavículas
la costilla|肋骨|n|身体|Se fisuró dos costillas con la tos.|剧烈咳嗽让他肋骨裂了两根。||复数 las costillas
el pecho|胸|n|身体|Se dio un golpe en el pecho con la puerta.|他胸口撞上了门。||复数 los pechos
el vientre|腹部（书面）|n|身体|El pescado tenía el vientre plateado.|那鱼腹部银亮。
la cintura|腰；腰围|n|身体|El pantalón le queda justo en la cintura.|裤子正合他的腰。||复数 las cinturas
el ombligo|肚脐|n|身体|La camiseta le dejaba el ombligo al aire.|T恤短得露了肚脐。
el hígado|肝|n|身体|El hígado filtra las toxinas.|肝脏过滤毒素。
el riñón|肾|n|身体|Le extirparon un riñón con laparoscopia.|他们用微创术摘了他一个肾。||复数 los riñones
los intestinos|肠|n|身体|El yogur mejora la flora de los intestinos.|酸奶改善肠道菌群。
la vesícula|胆囊|n|身体|Le quitaron la vesícula por cálculos.|她因结石摘了胆。
el páncreas|胰腺|n|身体|El páncreas produce insulina.|胰腺分泌胰岛素。
la médula|骨髓；脊髓|n|身体|La médula ósea fabrica glóbulos rojos.|骨髓制造红细胞。
la vena|静脉|n|身体|La enfermera buscó la vena del brazo.|护士找他胳膊上的静脉。||复数 las venas
la arteria|动脉|n|身体|La arteria aorta es la mayor del cuerpo.|主动脉是全身最大的动脉。||复数 las arterias
el tendón|肌腱|n|身体|Se rompió el tendón de aquiles.|他跟腱断了。||复数 los tendones
el ligamento|韧带|n|身体|Se torció el ligamento de la rodilla.|他膝盖韧带扭伤。||复数 los ligamentos
el cartílago|软骨|n|身体|El cartílago amortigua las articulaciones.|软骨给关节缓冲。||复数 los cartílagos
el poro|毛孔|n|身体|El vapor abre los poros de la piel.|蒸汽打开皮肤毛孔。||复数 los poros
el vello|体毛；绒毛|n|身体|El vello del brazo se le erizó de frío.|他冷得手臂汗毛直竖。
la pestaña|睫毛|n|身体|Se aplicó rímel en las pestañas.|她给睫毛刷了膏。||复数 las pestañas
el párpado|眼睑|n|身体|Le caía el párpado de sueño.|他困得眼皮直打架。||复数 los párpados
la pupila|瞳孔|n|身体|La pupila se dilata con la oscuridad.|黑暗中瞳孔放大。||复数 las pupilas
la retina|视网膜|n|身体|La retina recibe las imágenes del exterior.|视网膜接收外界影像。
el tímpano|鼓膜|n|身体|La música alta puede dañar el tímpano.|大音量会损伤鼓膜。||复数 los tímpanos
la encía|牙龈|n|身体|Le sangraban las encías al cepillarse.|刷牙时他牙龈出血。||复数 las encías
la muela|臼齿|n|身体|El dentista le empastó una muela.|牙医给他补了颗臼齿。||复数 las muelas
el colmillo|尖牙|n|身体|Los vampiros lucen colmillos afilados.|吸血鬼露着尖尖的獠牙。||复数 los colmillos
el paladar|上颚；品味|n|身体|Tiene el paladar educado en la alta cocina.|他的味蕾受过高级料理的驯化。
la tráquea|气管|n|身体|El médico auscultó la tráquea y los pulmones.|医生听了他的气管和肺。
el esófago|食道|n|身体|El alimento baja por el esófago al estómago.|食物经食道进入胃。
la laringe|喉|n|身体|Cantar en frío fuerza la laringe.|嗓子没热就唱歌伤喉。
las cuerdas vocales|声带|n|身体|El otorrino le revisó las cuerdas vocales.|耳鼻喉科医生查了他的声带。
la axila derecha|右腋下|n|身体|Le vacunaron en el brazo, no en la axila derecha.|疫苗打在胳膊，不是右腋下。
el pómulo|颧骨|n|身体|Tenía un moretón en el pómulo.|他颧骨上有块淤青。||复数 los pómulos
el moretón|淤青|n|身体|El golpe le dejó un moretón violeta.|那一击给他留了块紫色淤青。||复数 los moretones
el cardenal|淤血（旧/书面）|n|身体|Lucía cardenales por ambos brazos.|她两条手臂满是淤青。
la esquimosis|瘀斑（医学）|n|身体|La esquimosis es habitual tras la cirugía.|术后瘀斑很常见。
el callo|老茧；鸡眼|n|身体|Los zapatos nuevos le hicieron un callo.|新鞋磨出了鸡眼。||复数 los callos
la jaqueca|偏头痛（旧称）|n|身体|La jaqueca la obligó a apagar las luces.|偏头痛逼得她关了所有灯。
el esguince de muñeca|手腕扭伤|n|身体|Sufrió un esguince de muñeca jugando al pádel.|打板球她扭伤了手腕。
la luxación|脱臼|n|身体|La luxación de hombro se redujo en urgencias.|肩关节脱位在急诊复位了。
la fractura|骨折|n|身体|La fractura de radio fue limpia.|桡骨骨折是单纯性的。||复数 las fracturas
la muleta|拐杖|n|身体|Se movía con muletas tras la operación.|术后他拄拐行动。||复数 las muletas
la silla de ruedas|轮椅|n|身体|La silla de ruedas es plegable de viaje.|这是旅行折叠轮椅。
el apósito|敷料|n|身体|Cambia el apósito cada veinticuatro horas.|敷料每二十四小时一换。||复数 los apósitos
la sutura|缝合|n|身体|La sutura se retira a los diez días.|十天拆线。
los puntos de sutura|缝线|n|身体|Le dieron ocho puntos de sutura.|他缝了八针。
el vendaje|包扎|n|身体|El vendaje compresivo reduce la hinchazón.|加压包扎能消肿。||复数 los vendajes
la curita|创可贴（拉美）|n|身体|Se puso una curita en el corte.|他往伤口贴了创可贴。
el termómetro digital|电子体温计|n|身体|El termómetro digital pita al acabar.|电子体温计量完会响。
la pulsera identificativa|身份腕带|n|身体|El ingreso lleva pulsera identificativa.|住院要戴身份腕带。
el parte médico|医疗报告|n|身体|El parte médico indica mejoría.|医疗报告显示好转。
la receta médica|处方|n|身体|La receta médica incluye dos antibióticos.|处方开了两种抗生素。
la baja médica|病假条|n|身体|Está de baja médica por lumbalgia.|他因腰痛休病假。
la lumbalgia|腰痛|n|身体|La lumbalgia le duró un mes.|腰痛缠了他一个月。
la cervicalgia|颈痛|n|身体|La cervicalgia mejora con fisioterapia.|理疗能缓解颈痛。
la artrosis|骨关节炎|n|身体|La artrosis afecta a las manos.|骨关节炎侵扰手部关节。
la artritis|关节炎|n|身体|La artritis reumatoide es autoinmune.|类风湿关节炎是自身免疫病。
la osteoporosis|骨质疏松|n|身体|El calcio ayuda a prevenir la osteoporosis.|补钙有助预防骨质疏松。
la diabetes|糖尿病|n|身体|Controla la diabetes con dieta y paseos.|他靠饮食和散步控制糖尿病。
la hipertensión|高血压|n|身体|La hipertensión no da síntomas claros.|高血压没有明显症状。
la anemia|贫血|n|身体|La anemia le dejó sin fuerzas.|贫血让她浑身乏力。
la insolación|中暑|n|身体|Correr al mediodía casi le provoca una insolación.|正午跑步差点让他中暑。
la hipotermia|失温|n|身体|Los montañistas sufrieron hipotermia leve.|登山者们轻度失温。
la conmoción cerebral|脑震荡|n|身体|Sufrió una conmoción cerebral en el partido.|比赛里他脑震荡了。
la cicatrización|愈合|n|身体|La cicatrización fue rápida y limpia.|伤口愈合得又快又干净。
el sistema inmunológico|免疫系统|n|身体|El sistema inmunológico defiende de infecciones.|免疫系统抵御感染。
las defensas|抵抗力|n|身体|Las defensas bajas favorecen los catarros.|抵抗力低容易感冒。
el glóbulo rojo|红细胞|n|身体|Los glóbulos rojos transportan oxígeno.|红细胞运输氧气。||复数 los glóbulos rojos
el glóbulo blanco|白细胞|n|身体|Los glóbulos blancos combaten infecciones.|白细胞对抗感染。||复数 los glóbulos blancos
las plaquetas|血小板|n|身体|Las plaquetas coagulan la sangre.|血小板让血液凝固。
la donación de sangre|献血|n|身体|La donación de sangre dura diez minutos.|献血过程只需十分钟。
el grupo sanguíneo|血型|n|身体|Su grupo sanguíneo es cero negativo.|他的血型是 O 型阴性。
