# A1 5D 种子：D4 词块（es=>zh，; 分隔），可选 g:/s2:/m: 覆盖
a1-001|hay que=>必须;hay un problema=>有个问题
a1-166|el señor García=>加西亚先生;señor y señora=>先生和太太
a1-167|la señora López=>洛佩斯太太;señora mayor=>年长的女士
a1-168|me duele la cabeza=>我头疼;usar la cabeza=>动动脑子
a1-169|ojos azules=>蓝眼睛;ojos marrones=>棕色眼睛
a1-170|dar la mano=>握手;mano izquierda=>左手
a1-171|pie derecho=>右脚;a pie=>步行
a1-172|abrir la boca=>张开嘴;cerrar la boca=>闭上嘴
a1-173|pelo largo=>长发;pelo castaño=>棕色头发
a1-174|brazo derecho=>右臂;cruzar los brazos=>抱起双臂
a1-175|piernas largas=>长腿;romperse una pierna=>摔断了腿
a1-176|corazón sano=>健康的心脏;con todo mi corazón=>全心全意
a1-177|dolor de estómago=>胃疼;con el estómago vacío=>空着肚子
a1-178|ir al médico=>去看医生;el médico de familia=>家庭医生
a1-179|tomar la medicina=>吃药;medicina para el dolor=>止痛药
a1-180|estar en el hospital=>住院;hospital público=>公立医院
a1-181|ir a la farmacia=>去药店;farmacia de guardia=>夜间值班药店
a1-182|pan fresco=>新鲜面包;pan con mantequilla=>黄油面包
a1-183|un vaso de leche=>一杯牛奶;leche fría=>冰牛奶
a1-184|té verde=>绿茶;una taza de té=>一杯茶
a1-185|vino tinto=>红葡萄酒;una copa de vino=>一杯葡萄酒
a1-186|pedir una cerveza=>点一杯啤酒;cerveza fría=>冰啤酒
a1-187|zumo de naranja=>橙汁;zumo natural=>鲜榨果汁
a1-188|huevos revueltos=>炒蛋;huevo frito=>煎蛋
a1-189|carne asada=>烤肉;carne de res=>牛肉
a1-190|pescado fresco=>新鲜的鱼;pescado frito=>炸鱼
a1-191|pollo asado=>烤鸡;pechuga de pollo=>鸡胸肉
a1-192|arroz blanco=>白米饭;un plato de arroz=>一盘米饭
a1-193|sopa caliente=>热汤;sopa de pollo=>鸡汤
a1-194|ensalada fresca=>新鲜沙拉;ensalada de frutas=>水果沙拉
a1-195|fruta fresca=>新鲜水果;comer fruta=>吃水果
a1-196|zumo de manzana=>苹果汁;manzana verde=>青苹果
a1-197|un plátano maduro=>一根熟香蕉;plátanos fritos=>炸香蕉
a1-198|zumo de naranja natural=>鲜榨橙汁;naranjas de Valencia=>瓦伦西亚橙
a1-199|salsa de tomate=>番茄酱;tomates cherry=>圣女果
a1-200|patatas fritas=>薯条;patata cocida=>煮土豆
a1-201|queso manchego=>曼彻格奶酪;pan con queso=>面包配奶酪
a1-202|café con azúcar=>加糖咖啡;sin azúcar=>不加糖
a1-203|echar sal=>加盐;con poca sal=>少放盐
a1-204|desayuno completo=>丰盛的早餐;el desayuno está listo=>早餐好了
a1-205|hora del almuerzo=>午饭时间;almuerzo ligero=>简便午餐
a1-206|la cena de hoy=>今天的晚饭;después de la cena=>晚饭后
a1-207|de postre=>作为甜点;postre del día=>当日甜点
a1-208|helado de chocolate=>巧克力冰淇淋;helado de vainilla=>香草冰淇淋
a1-209|un vaso de agua=>一杯水;vaso de plástico=>塑料杯
a1-210|una taza de café=>一杯咖啡;taza de té=>茶杯
a1-211|plato principal=>主菜;plato del día=>当日套餐|m:盘子
a1-212|cuchara de sopa=>汤匙;con la cuchara=>用勺子
a1-213|cuchillo de mesa=>餐刀;cuchillo y tenedor=>刀叉
a1-214|tenedor y cuchillo=>刀叉;un tenedor limpio=>干净的叉子
a1-215|botella de agua=>一瓶水;botella de vino=>一瓶葡萄酒
a1-216|menú del día=>当日套餐;ver el menú=>看菜单
a1-217|dejar propina=>给小费;propina incluida=>小费已含
a1-218|llamar al camarero=>叫服务员;un camarero simpático=>友善的服务员
a1-219|comer comida rápida=>吃快餐;comida rápida y barata=>又快又便宜的餐食
a1-220|tienda de ropa=>服装店;ir a la tienda=>去商店
a1-221|ir al supermercado=>去超市;en el supermercado=>在超市里
a1-222|ir a la escuela=>去上学;escuela primaria=>小学
a1-223|estudiar en la universidad=>读大学;entrar en la universidad=>考上大学
a1-224|en clase=>在课上;la clase de español=>西语课
a1-225|el profesor de español=>西语老师;preguntar al profesor=>问老师
a1-226|la profesora de historia=>历史老师;una profesora exigente=>严格的老师
a1-227|estudiante de intercambio=>交换生;un estudiante aplicado=>用功的学生
a1-228|una estudiante nueva=>新来的女学生;estudiante universitaria=>大学生（女）
a1-229|la lección de hoy=>今天的课;primera lección=>第一课
a1-230|aprender palabras=>学单词;palabra nueva=>生词
a1-231|letra mayúscula=>大写字母;letra pequeña=>小写字母
a1-232|número de teléfono=>电话号码;número impar=>奇数
a1-233|cuaderno de notas=>笔记本;un cuaderno nuevo=>一个新本子
a1-234|lápiz y papel=>纸和笔;un lápiz rojo=>一支红铅笔
a1-235|bolígrafo azul=>蓝色圆珠笔;sacar un bolígrafo=>掏出一支笔
a1-236|mochila escolar=>书包;llevar una mochila=>背着背包
a1-237|ordenador portátil=>笔记本电脑;encender el ordenador=>打开电脑
a1-238|computadora portátil=>笔记本电脑（拉美）;usar la computadora=>用电脑
a1-239|pantalla grande=>大屏幕;mirar la pantalla=>看屏幕
a1-240|billete de ida=>单程票;billete de avión=>机票|m:票
a1-241|boleto de autobús=>公交票（拉美）;boleto de ida y vuelta=>往返票
a1-242|estación de tren=>火车站;estación de metro=>地铁站
a1-243|tomar el metro=>坐地铁;en metro=>乘地铁
a1-244|tomar el autobús=>坐公交;parada de autobús=>公交站
a1-245|tren de alta velocidad=>高铁;tomar el tren=>坐火车
a1-246|billete de avión=>机票;viajar en avión=>坐飞机旅行
a1-247|tomar un taxi=>打车;taxi libre=>空出租车
a1-248|parada de autobús=>公交站;en la parada=>在站台
a1-249|mirar el mapa=>看地图;mapa de la ciudad=>城市地图
a1-250|ir a la playa=>去海滩;playa de arena=>沙滩
a1-251|montaña alta=>高山;subir la montaña=>爬山
a1-252|el mar Mediterráneo=>地中海;ver el mar=>看海
a1-253|tomar el sol=>晒太阳;hoy hace sol=>今天是大晴天|m:太阳
a1-254|pasear por el parque=>在公园散步;parque infantil=>儿童乐园
a1-255|ir al cine=>去看电影;entrada de cine=>电影票
a1-256|visitar el museo=>参观博物馆;museo de arte=>艺术博物馆
a1-257|ir al banco=>去银行;banco abierto=>营业中的银行
a1-258|oficina central=>总部;en la oficina=>在办公室
a1-259|el centro de la ciudad=>市中心;centro comercial=>商场|m:市中心
a1-260|iglesia antigua=>古老的教堂;ir a la iglesia=>去教堂
a1-261|habitación doble=>双人间;reservar una habitación=>订房间
a1-262|cuarto de baño=>卫生间;un cuarto pequeño=>小房间
a1-263|abrir la puerta=>开门;cerrar la puerta con llave=>锁门
a1-264|abrir la ventana=>开窗;junto a la ventana=>靠窗
a1-265|en la mesa=>在桌上;poner la mesa=>摆餐具
a1-266|sentarse en la silla=>坐在椅子上;silla de madera=>木椅
a1-267|ir a la cama=>去睡觉;cama individual=>单人床
a1-268|sentarse en el sofá=>坐在沙发上;sofá nuevo=>新沙发
a1-269|armario de ropa=>衣柜;guardarlo en el armario=>收进衣柜
a1-270|llave de la casa=>家门钥匙;perder las llaves=>丢了钥匙
a1-271|subir por la escalera=>爬楼梯;escalera automática=>自动扶梯
a1-272|tomar el ascensor=>乘电梯;ascensor roto=>电梯坏了
a1-273|vivir en un piso=>住公寓;piso de abajo=>楼下|m:楼层；公寓
a1-274|encender la luz=>开灯;apagar la luz=>关灯|m:灯
a1-275|tomar una ducha=>冲个澡;agua de la ducha=>淋浴的水
a1-276|ropa limpia=>干净衣服;lavar la ropa=>洗衣服
a1-277|camisa blanca=>白衬衫;camisa de manga larga=>长袖衬衫
a1-278|camiseta de algodón=>棉T恤;camiseta nueva=>新T恤
a1-279|pantalones vaqueros=>牛仔裤;pantalones cortos=>短裤
a1-280|vestido rojo=>红裙子;vestido de fiesta=>礼服裙
a1-281|falda larga=>长裙;una falda bonita=>一条好看的裙子
a1-282|zapatos de tacón=>高跟鞋;zapatos cómodos=>舒服的鞋
a1-283|botas de invierno=>冬靴;un par de botas=>一双靴子
a1-284|abrigo de lana=>羊毛大衣;ponerse el abrigo=>穿上大衣
a1-285|chaqueta de cuero=>皮夹克;quitarse la chaqueta=>脱下外套
a1-286|sombrero de playa=>沙滩草帽;ponerse el sombrero=>戴上帽子
a1-287|bufanda de lana=>羊毛围巾;ponerse la bufanda=>围上围巾
a1-288|bolsa de plástico=>塑料袋;una bolsa grande=>一个大包
a1-289|gafas de sol=>太阳镜;llevar gafas=>戴眼镜
a1-290|reloj de pulsera=>手表;mirar el reloj=>看表|m:手表
a1-291|¿de qué color es?=>是什么颜色？;color favorito=>最喜欢的颜色
a1-292|un coche rojo=>一辆红车;labios rojos=>红唇
a1-293|cielo azul=>蓝天;una camisa azul=>蓝衬衫
a1-294|verde claro=>浅绿色;verde oscuro=>深绿色
a1-295|flor amarilla=>黄花;el color amarillo=>黄色
a1-296|café negro=>不加奶的咖啡;un gato negro=>黑猫
a1-297|vino blanco=>白葡萄酒;papel blanco=>白纸
a1-298|árbol alto=>大树;a la sombra del árbol=>在树荫下
a1-299|flores frescas=>鲜花;regalar flores=>送花
a1-300|cielo azul=>蓝天;cielo nublado=>阴天
a1-301|lluvia fuerte=>大雨;mojado por la lluvia=>被雨淋湿
a1-302|jugar con la nieve=>玩雪;caer nieve=>下雪
a1-303|bueno para la salud=>对健康有好处;es muy bueno=>非常好
a1-304|malo para la salud=>对健康有害;mal tiempo=>坏天气
a1-305|una casa grande=>大房子;de tamaño grande=>大号
a1-306|un piso pequeño=>小公寓;negocio pequeño=>小生意
a1-307|coche nuevo=>新车;empezar de nuevo=>重新开始
a1-308|un libro viejo=>旧书;un amigo viejo=>老朋友
a1-309|gente joven=>年轻人;de joven=>年轻的时候
a1-310|un chico guapo=>帅哥;¡qué guapo!=>真帅！
a1-311|un piso bonito=>漂亮的公寓;bonito nombre=>好听的名字
a1-312|feliz cumpleaños=>生日快乐;ser feliz=>过得幸福
a1-313|estar triste=>难过;una película triste=>催泪的电影
a1-314|estar contento=>开心;contento con el regalo=>对礼物满意
a1-315|comida rica=>好吃的东西;sabe rico=>很好吃|m:好吃的
a1-316|demasiado caro=>太贵了;un coche caro=>一辆贵的车
a1-317|muy barato=>很便宜;barato pero bueno=>便宜又好
a1-318|muy fácil=>很容易;fácil de usar=>容易上手
a1-319|difícil de entender=>难以理解;un examen difícil=>一场难的考试
a1-320|pelo largo=>长发;un camino largo=>漫长的路
a1-321|pelo corto=>短发;pantalones cortos=>短裤
a1-322|un chico alto=>高个子男生;edificio alto=>高楼
a1-323|un chico bajo=>矮个子男生;en voz baja=>低声地
a1-324|servicio rápido=>快捷的服务;correr rápido=>跑得快
a1-325|servicio lento=>慢吞吞的服务;ir lento=>慢慢走
a1-326|agua caliente=>热水;comida caliente=>热乎的饭菜
a1-327|hace frío=>天气冷;agua fría=>凉水
a1-328|estar lleno=>吃饱了;autobús lleno=>挤满人的公交
a1-329|el restaurante está vacío=>餐厅空无一人;un vaso vacío=>空杯子
a1-330|la tienda está abierta=>店还开着;dejar la puerta abierta=>让门开着
a1-331|cerrado por vacaciones=>歇业度假;hoy cerrado=>今日不营业
a1-332|ropa limpia=>干净的衣服;aire limpio=>清新的空气
a1-333|manos sucias=>脏手;zapatos sucios=>脏鞋
a1-334|un hombre fuerte=>强壮的男人;café fuerte=>浓咖啡
a1-335|una chica delgada=>苗条的女孩;un cuerpo delgado=>瘦削的身材
a1-336|un gato gordo=>肥猫;estar gordo=>发胖了
a1-337|una niña inteligente=>聪明的女孩;muy inteligente=>非常聪明
a1-338|noticia importante=>重要新闻;algo importante=>重要的事
a1-339|tema interesante=>有意思的话题;libro interesante=>有趣的书
a1-340|estar aburrido=>感到无聊;una clase aburrida=>无聊的课
a1-341|ser divertido=>很搞笑;un día divertido=>好玩的一天
a1-342|estar enfermo=>生病了;caer enfermo=>病倒了
a1-343|un lugar seguro=>安全的地方;estar seguro de=>确信
a1-344|una persona simpática=>友善的人;un profesor simpático=>和气的老师
a1-345|gente amable=>友善的人们;ser amable con alguien=>对某人友好
a1-346|un hombre serio=>严肃的男人;hablar en serio=>说正经的
a1-347|un pueblo tranquilo=>宁静的小镇;¡tranquilo!=>放轻松！
a1-348|tiempo libre=>空闲时间;ser libre=>自由
a1-349|si es posible=>如果可以的话;todo es posible=>一切皆有可能
a1-350|tengo frío=>我很冷;tener mucho frío=>非常冷
a1-351|tengo calor=>我很热;tener mucho calor=>热得不行
a1-352|tengo sed=>我渴了;tener mucha sed=>非常渴
a1-353|tengo prisa=>我赶时间;tener mucha prisa=>特别急
a1-354|hace mucho frío=>非常冷;fuera hace frío=>外面很冷
a1-355|hace mucho calor=>非常热;hoy hace calor=>今天很热
a1-356|hoy hace sol=>今天晴;tomar el sol en la playa=>在海滩晒太阳
a1-357|está lloviendo mucho=>雨下得很大;sigue lloviendo=>雨还在下
a1-358|hay que estudiar=>得学习;hay que trabajar=>得工作
a1-359|más o menos bien=>还可以;entiendo más o menos=>我大致听懂了
a1-360|no pasa nada, tranquilo=>没事的，别担心;aquí no pasa nada=>这里什么事都没有
a1-361|¡claro que sí!=>当然可以！;claro, cómo no=>当然，没问题
a1-362|un poco de agua=>一点水;un poco cansado=>有点累
a1-363|muy bien, gracias=>很好，谢谢;hablas muy bien=>你说得非常好
